"gid","fls_link","year","tour","date","venue","city","country","played_with","attendance","sound_quality","latitude","longitude"
"austin-tx-usa-33102","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-33102' target='_blank'>austin-tx-usa-33102</a>",2002,"2002 Spring Southern USA/Texas Tour",2002-03-31,"Emo's","Austin","USA","Total Noise Group",1300,"Very Good",30.2667251,-97.737053
"austin-tx-usa-41293","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-41293' target='_blank'>austin-tx-usa-41293</a>",1993,"1993 Spring USA Tour",1993-04-12,"Liberty Lunch","Austin","USA","Faucet",1000,"Good",30.2655522,-97.749048
"austin-tx-usa-41393","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-41393' target='_blank'>austin-tx-usa-41393</a>",1993,"1993 Spring USA Tour",1993-04-13,"Liberty Lunch","Austin","USA","Come",1000,"Good",30.2655522,-97.749048
"austin-tx-usa-50590","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-50590' target='_blank'>austin-tx-usa-50590</a>",1990,"1990 Spring/Summer USA Tour",1990-05-05,"Liberty Lunch","Austin","USA","Glass Eye",1100,"Very Good",30.2655522,-97.749048
"austin-tx-usa-50590","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-50590' target='_blank'>austin-tx-usa-50590</a>",1990,"1990 Spring/Summer USA Tour",1990-05-05,"Liberty Lunch","Austin","USA","Spot",1100,"Very Good",30.2655522,-97.749048
"austin-tx-usa-51389","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-51389' target='_blank'>austin-tx-usa-51389</a>",1989,"1989 Spring USA Tour",1989-05-13,"Liberty Lunch","Austin","USA","Bad Mutha Goose",1000,NA,30.2655522,-97.749048
"austin-tx-usa-51389","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-51389' target='_blank'>austin-tx-usa-51389</a>",1989,"1989 Spring USA Tour",1989-05-13,"Liberty Lunch","Austin","USA","Retarded Elf",1000,NA,30.2655522,-97.749048
"austin-tx-usa-52591","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-52591' target='_blank'>austin-tx-usa-52591</a>",1991,"1991 Spring USA Tour",1991-05-25,"Liberty Lunch","Austin","USA","Glass Eye",1100,"Very Good",30.2655522,-97.749048
"austin-tx-usa-52591","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-52591' target='_blank'>austin-tx-usa-52591</a>",1991,"1991 Spring USA Tour",1991-05-25,"Liberty Lunch","Austin","USA","Ufungusumungus",1100,"Very Good",30.2655522,-97.749048
"austin-tx-usa-52888","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-52888' target='_blank'>austin-tx-usa-52888</a>",1988,"1988 Spring USA Tour",1988-05-28,"Liberty Lunch","Austin","USA","Bad Mutha Goose",400,NA,30.2655522,-97.749048
